raison_sociale;ville;mobile;tel;email;siteweb
CinetPay Service;Abidjan;+225 08919686;+225 22423777;sales@cinetpay.com;http://www.cinetcore.ci
Cinewax;Paris;674020794;0674020794;cinetpay@cinewax.org;https://cinewax.org
SARL;Abiddjan;"";665025689;amos.kouadio@gmail.com;http://liv-vit.com
Ellipsecom;Abidjan;09669146;53045169;ellipsecom.ci225@gmail.com;http://ellipsecom.com
INFOSERVICES;Yamoussoukro;+225 09069115;+225 30642162;bhbhenry@gmail.com;http://www.infoservices.biz
A mon propre compte;abidjan;+225 49588611;+225 49588611;ibelagarchette@gmail.com;https://www.facebook.com/ibrahimcfa2020
Minlessika;Abidjan;07622999;07622999;admin@minlessika.com;https://www.minlessika.com
Spark Group;Abidjan;47655690;03036012;krayebouakoffi@gmail.com;http://www.ivoirshop.ci
ABOH COMPANHIA;KORHOGO;49678234;+22501012833;rehobothuniversity@gmail.com;http://www.rehobothuniversity.com
BUSINESS PROJECT AND CAPITAL INVESTMENT;Abidjan;0709449938;21002241;adingra@bpaci.net;http://www.bpaci.net
INGENIOUS TEAM;Abidjan;+225 58358866;+225 225418964;dimbas@yahoo.fr;http://www.ingenious.ci
ACADEMIE DES EXPERTS;Abidjan;+225 57846410;+225 57846410;yaojustin2013@gmail.com;http://secretsdesexperts.com/
Deed Development SUARL;DAKAR;+221 77 676 62 29;+221 33 824 18 88;pay@deedo.io;https://deedo.io
GRAY MEDICAL EQUIPEMENT;ABIDJAN ;09734004;09734004;zelia.kakauf@graygroupe.com;https://www.groupeartisan.com
Taptap Send;New York;3472011870;3472011870;ops-cinetpay@taptapsend.com;http://www.taptapsend.com
ELITE COTE D'IVOIRE CONSULTING;ABIDJAN;+225 07663435;+225 06668808;rfofana@elite-ci.com;http://www.elite-ci.com
SOEX;Abidjan;79187918;21253936;dogdonald225@gmail.com;https://dogdonald225.com
PROPULSES;Abidjan;+225 08066205;+225 08066505;propulses@gmail.com;http://www.infas.ci
SHYN-E SARL;abidjan;40390528;40390528;jekouamen@hotmail.com;http://www.shyn-e.net
ENTREPRISE 101;ABIDJAN;89380203;89380203;nahounoucamille660@gmail.com;http://www.immo101.net
SACKO MOUSSA;LES ANDELYS;695350106;0695350106;boutygame@gmail.com;http://www.akagne.ml
Comevents;Abidjan;07450781;66927435;contact@comevent.net;https://comevent.net
Shahima services;Abidjan;05001011;22444033;benkone15@gmail.com;https://benkone152.wixsite.com/cachemailfrancophone
ONE STOP;Abidjan;56000058;22443005;kevingnelman@gmail.com;https://fiestaci.com/fiesta_2019/
Public Affairs Africa;Paris;626819661;626819661;contact@publicaffairsafrica.com;https://publicaffairsafrica.com/
ONG BOYA;ABIDJAN;07627878;07627878;ongboya48@gmail.com;https://www.ongboya.org
URMA SANTE;ABIDJAN;07400716;07400716;raphaelndri8@urma-ci.com;http://www.urma-ci.com
WoSHEL;Yaounde;+23791935666;91935666;informatique@woshel.com;https://woshel.com
Douanes;Abidjan;07895086;07895086;lesdouanes@cinetpay.com;http://douanes.ci
"Eglise Vases d&#039;Honneur Centre de la Foi Treichville";ABIDJAN;48601124;48601124;angekougo@gmail.com;http://vasesdhonneur.net/
DOSSO RELATIONS - SERVICES;ABIDJAN;47055493;47055493;dosso.relations.services@gmail.com;https://afrikelite.com
Mobile Sharing ;Abidjan;07001700;+225071700;supervision@mobile-sharing.com;https://mobile-sharing.com
RHDP;Abidjan;010010101;22553322;rhdp@cinetpay.com;http://adhesion.rhdp.ci
ASSOCIATION 3535;Abidjan;79733465;79733465;richard.seshie@gmail.com;http://association3535.club/
Korha sarl;Abidjan;47262649;22411554;korhaa@yahoo.fr;https://www.korhacreation.net
E-commerce;Kinshasa;823900457;0894294200;contact@fedha.online;http://fedha.online
"Virgin Boh&egrave;me";Abidjan;87255958;87255958;jclycris@googlemail.com;http://virginboheme.com
VENAME;Abidjan;09145146;22423777;infos@vename.com;https://vename.com/
GLOBAL BUSINESS LINK GROUP;Abidjan;+225 57152566;+225 22426676;ekra@gblgroupe.com;http://www.gblgroupe.com
FONDATION BENIANH INTERNATIONAL;ABIDJAN;08612961;08612961;info@fondationbenianh.org;http://www.fondationbenianh.org
THE MBAOUA GROUP;Abidjan;87750665;87750665;yaya@zencey.com;http://www.zencey.com
EMS ( ENTREPRISE MULTI-SERVICE GROUP MAGG;Abidjan;+225 55457804;+225 43719220;zambletra@gmail.com;http://www.event-formation.com
GRAPHI-WEB;Abidjan;+225 07872774;+225 22525588;benaffro@gmail.com;http://www.faire-part-création.ci
"Soci&eacute;t&eacute; Nationale de Services et de D&eacute;veloppement";Abidjan;47537222;47537222;snsdsarl777@gmail.com;https://www.resto-drive.fr/
HOODA Graphics ;ABIDJAN;07897594;22406140;hoodagraphics@outlook.com;http://hoodagraphics.com/
TECH4GOODCI;Abidjan;608451311;58581818;tech@janngo.africa;http://www.janngo.com
IMS;ABIDJAN;+225 09917435;+225 ;boamathieu@yahoo.fr;http://www.monvoyage.ci
"Imp&ocirc;t  synth&eacute;tique ";Yamoussoukro;01177544;01177544;akmarci@gmail.com;http://akanza.000webhostapp.com
Sophia Consulting RDC;Kinshasa;+243970020117;+243970020117;p.toure@sophiaconsultingrdc.com;http://www.sophiaconsultingrdc.com
BERTINO ;ABIDJAN;87898995;87898995;lesperlesabidjanaise123@gmail.com;http://WWW.BERTINO.CI
EASY CONTACT;Abidjan;+225 77881938;+225 ;jpsioblo@gmail.com;http://www.emmeraude.com
AGENCE DE PRESSE AFRICAINE;ABIDJAN;+225 08206666;+225 20333036;apamktci@gmail.com;https://www.apanews.net
FINASYS TECHNOLOGIES;Grand-Bassam;+225 07686822;+225 21312777;sysfinasys1@gmail.com;http://www.ecolemedia.net
AIT GROUP;Abidjan;67614210;67614210;paterneadagbe@gmail.com;http://coachpaterne.com
Afriktek;Abidjan;09446193;22481185;akouakou.ci@gmail.com;http://www.afriktek.com
Dress spirit;Abidjan;+225 59555436;+225 22500852;dressspirit@gmail.com;http://www.dressspirit.com
